"Month","Passengers","t","t_square","logt","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
1995-01-01,112,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1995-02-01,118,2,4,0.693147180559945,0,1,0,0,0,0,0,0,0,0,0,0
1995-03-01,132,3,9,1.09861228866811,0,0,1,0,0,0,0,0,0,0,0,0
1995-04-01,129,4,16,1.38629436111989,0,0,0,1,0,0,0,0,0,0,0,0
1995-05-01,121,5,25,1.6094379124341,0,0,0,0,1,0,0,0,0,0,0,0
1995-06-01,135,6,36,1.79175946922805,0,0,0,0,0,1,0,0,0,0,0,0
1995-07-01,148,7,49,1.94591014905531,0,0,0,0,0,0,1,0,0,0,0,0
1995-08-01,148,8,64,2.07944154167984,0,0,0,0,0,0,0,1,0,0,0,0
1995-09-01,136,9,81,2.19722457733622,0,0,0,0,0,0,0,0,1,0,0,0
1995-10-01,119,10,100,2.30258509299405,0,0,0,0,0,0,0,0,0,1,0,0
1995-11-01,104,11,121,2.39789527279837,0,0,0,0,0,0,0,0,0,0,1,0
1995-12-01,118,12,144,2.484906649788,0,0,0,0,0,0,0,0,0,0,0,1
1996-01-01,115,13,169,2.56494935746154,1,0,0,0,0,0,0,0,0,0,0,0
1996-02-01,126,14,196,2.63905732961526,0,1,0,0,0,0,0,0,0,0,0,0
1996-03-01,141,15,225,2.70805020110221,0,0,1,0,0,0,0,0,0,0,0,0
1996-04-01,135,16,256,2.77258872223978,0,0,0,1,0,0,0,0,0,0,0,0
1996-05-01,125,17,289,2.83321334405622,0,0,0,0,1,0,0,0,0,0,0,0
1996-06-01,149,18,324,2.89037175789616,0,0,0,0,0,1,0,0,0,0,0,0
1996-07-01,170,19,361,2.94443897916644,0,0,0,0,0,0,1,0,0,0,0,0
1996-08-01,170,20,400,2.99573227355399,0,0,0,0,0,0,0,1,0,0,0,0
1996-09-01,158,21,441,3.04452243772342,0,0,0,0,0,0,0,0,1,0,0,0
1996-10-01,133,22,484,3.09104245335832,0,0,0,0,0,0,0,0,0,1,0,0
1996-11-01,114,23,529,3.13549421592915,0,0,0,0,0,0,0,0,0,0,1,0
1996-12-01,140,24,576,3.17805383034795,0,0,0,0,0,0,0,0,0,0,0,1
1997-01-01,145,25,625,3.2188758248682,1,0,0,0,0,0,0,0,0,0,0,0
1997-02-01,150,26,676,3.25809653802148,0,1,0,0,0,0,0,0,0,0,0,0
1997-03-01,178,27,729,3.29583686600433,0,0,1,0,0,0,0,0,0,0,0,0
1997-04-01,163,28,784,3.3322045101752,0,0,0,1,0,0,0,0,0,0,0,0
1997-05-01,172,29,841,3.36729582998647,0,0,0,0,1,0,0,0,0,0,0,0
1997-06-01,178,30,900,3.40119738166216,0,0,0,0,0,1,0,0,0,0,0,0
1997-07-01,199,31,961,3.43398720448515,0,0,0,0,0,0,1,0,0,0,0,0
1997-08-01,199,32,1024,3.46573590279973,0,0,0,0,0,0,0,1,0,0,0,0
1997-09-01,184,33,1089,3.49650756146648,0,0,0,0,0,0,0,0,1,0,0,0
1997-10-01,162,34,1156,3.52636052461616,0,0,0,0,0,0,0,0,0,1,0,0
1997-11-01,146,35,1225,3.55534806148941,0,0,0,0,0,0,0,0,0,0,1,0
1997-12-01,166,36,1296,3.58351893845611,0,0,0,0,0,0,0,0,0,0,0,1
1998-01-01,171,37,1369,3.61091791264422,1,0,0,0,0,0,0,0,0,0,0,0
1998-02-01,180,38,1444,3.63758615972639,0,1,0,0,0,0,0,0,0,0,0,0
1998-03-01,193,39,1521,3.66356164612965,0,0,1,0,0,0,0,0,0,0,0,0
1998-04-01,181,40,1600,3.68887945411394,0,0,0,1,0,0,0,0,0,0,0,0
1998-05-01,183,41,1681,3.71357206670431,0,0,0,0,1,0,0,0,0,0,0,0
1998-06-01,218,42,1764,3.73766961828337,0,0,0,0,0,1,0,0,0,0,0,0
1998-07-01,230,43,1849,3.76120011569356,0,0,0,0,0,0,1,0,0,0,0,0
1998-08-01,242,44,1936,3.78418963391826,0,0,0,0,0,0,0,1,0,0,0,0
1998-09-01,209,45,2025,3.80666248977032,0,0,0,0,0,0,0,0,1,0,0,0
1998-10-01,191,46,2116,3.8286413964891,0,0,0,0,0,0,0,0,0,1,0,0
1998-11-01,172,47,2209,3.85014760171006,0,0,0,0,0,0,0,0,0,0,1,0
1998-12-01,194,48,2304,3.87120101090789,0,0,0,0,0,0,0,0,0,0,0,1
1999-01-01,196,49,2401,3.89182029811063,1,0,0,0,0,0,0,0,0,0,0,0
1999-02-01,196,50,2500,3.91202300542815,0,1,0,0,0,0,0,0,0,0,0,0
1999-03-01,236,51,2601,3.93182563272433,0,0,1,0,0,0,0,0,0,0,0,0
1999-04-01,235,52,2704,3.95124371858143,0,0,0,1,0,0,0,0,0,0,0,0
1999-05-01,229,53,2809,3.97029191355212,0,0,0,0,1,0,0,0,0,0,0,0
1999-06-01,243,54,2916,3.98898404656427,0,0,0,0,0,1,0,0,0,0,0,0
1999-07-01,264,55,3025,4.00733318523247,0,0,0,0,0,0,1,0,0,0,0,0
1999-08-01,272,56,3136,4.02535169073515,0,0,0,0,0,0,0,1,0,0,0,0
1999-09-01,237,57,3249,4.04305126783455,0,0,0,0,0,0,0,0,1,0,0,0
1999-10-01,211,58,3364,4.06044301054642,0,0,0,0,0,0,0,0,0,1,0,0
1999-11-01,180,59,3481,4.07753744390572,0,0,0,0,0,0,0,0,0,0,1,0
1999-12-01,201,60,3600,4.0943445622221,0,0,0,0,0,0,0,0,0,0,0,1
2000-01-01,204,61,3721,4.11087386417331,1,0,0,0,0,0,0,0,0,0,0,0
2000-02-01,188,62,3844,4.12713438504509,0,1,0,0,0,0,0,0,0,0,0,0
2000-03-01,235,63,3969,4.14313472639153,0,0,1,0,0,0,0,0,0,0,0,0
2000-04-01,227,64,4096,4.15888308335967,0,0,0,1,0,0,0,0,0,0,0,0
2000-05-01,234,65,4225,4.17438726989564,0,0,0,0,1,0,0,0,0,0,0,0
2000-06-01,264,66,4356,4.18965474202643,0,0,0,0,0,1,0,0,0,0,0,0
2000-07-01,302,67,4489,4.20469261939097,0,0,0,0,0,0,1,0,0,0,0,0
2000-08-01,293,68,4624,4.21950770517611,0,0,0,0,0,0,0,1,0,0,0,0
2000-09-01,259,69,4761,4.23410650459726,0,0,0,0,0,0,0,0,1,0,0,0
2000-10-01,229,70,4900,4.24849524204936,0,0,0,0,0,0,0,0,0,1,0,0
2000-11-01,203,71,5041,4.26267987704132,0,0,0,0,0,0,0,0,0,0,1,0
2000-12-01,229,72,5184,4.27666611901606,0,0,0,0,0,0,0,0,0,0,0,1
2001-01-01,242,73,5329,4.29045944114839,1,0,0,0,0,0,0,0,0,0,0,0
2001-02-01,233,74,5476,4.30406509320417,0,1,0,0,0,0,0,0,0,0,0,0
2001-03-01,267,75,5625,4.31748811353631,0,0,1,0,0,0,0,0,0,0,0,0
2001-04-01,269,76,5776,4.33073334028633,0,0,0,1,0,0,0,0,0,0,0,0
2001-05-01,270,77,5929,4.34380542185368,0,0,0,0,1,0,0,0,0,0,0,0
2001-06-01,315,78,6084,4.35670882668959,0,0,0,0,0,1,0,0,0,0,0,0
2001-07-01,364,79,6241,4.36944785246702,0,0,0,0,0,0,1,0,0,0,0,0
2001-08-01,347,80,6400,4.38202663467388,0,0,0,0,0,0,0,1,0,0,0,0
2001-09-01,312,81,6561,4.39444915467244,0,0,0,0,0,0,0,0,1,0,0,0
2001-10-01,274,82,6724,4.40671924726425,0,0,0,0,0,0,0,0,0,1,0,0
2001-11-01,237,83,6889,4.4188406077966,0,0,0,0,0,0,0,0,0,0,1,0
2001-12-01,278,84,7056,4.43081679884331,0,0,0,0,0,0,0,0,0,0,0,1
2002-01-01,284,85,7225,4.44265125649032,1,0,0,0,0,0,0,0,0,0,0,0
2002-02-01,277,86,7396,4.45434729625351,0,1,0,0,0,0,0,0,0,0,0,0
2002-03-01,317,87,7569,4.46590811865458,0,0,1,0,0,0,0,0,0,0,0,0
2002-04-01,313,88,7744,4.47733681447821,0,0,0,1,0,0,0,0,0,0,0,0
2002-05-01,318,89,7921,4.48863636973214,0,0,0,0,1,0,0,0,0,0,0,0
2002-06-01,374,90,8100,4.49980967033027,0,0,0,0,0,1,0,0,0,0,0,0
2002-07-01,413,91,8281,4.51085950651685,0,0,0,0,0,0,1,0,0,0,0,0
2002-08-01,405,92,8464,4.52178857704904,0,0,0,0,0,0,0,1,0,0,0,0
2002-09-01,355,93,8649,4.53259949315326,0,0,0,0,0,0,0,0,1,0,0,0
2002-10-01,306,94,8836,4.54329478227,0,0,0,0,0,0,0,0,0,1,0,0
2002-11-01,271,95,9025,4.55387689160054,0,0,0,0,0,0,0,0,0,0,1,0
2002-12-01,306,96,9216,4.56434819146784,0,0,0,0,0,0,0,0,0,0,0,1
